kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,0,0,0,0,2.470613377,2.7000000e-08,-2.7000000e-08,122.7633050,8.700000e-06,-8.700000e-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14230.9,4.200e+00,-4.200e+00,13.04,0.51,-5.100e-01,1339.0,,,761.46,106.21,-95.76,4304.30,1,q1_q17_dr25_tce,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380,286.808470,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,2.204735417,4.3000000e-08,-4.3000000e-08,121.3585417,1.600000e-05,-1.600000e-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.700e+00,-1.700e+00,16.10,0.81,-9.100e-01,2048.0,,,4148.92,651.59,-654.46,5945.90,1,q1_q17_dr25_tce,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100,292.247280,47.969521,10.463
10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.9130,0,0,0,0,4.887803076,4.6600000e-07,-4.6600000e-07,124.8130808,7.510000e-05,-7.510000e-05,0.054,0.145,-0.054,2.36255,0.00466,-0.00466,4315.8,6.100e+00,-6.100e+00,4.82,0.17,-1.800e-01,800.0,,,96.67,14.91,-13.89,862.30,1,q1_q17_dr25_tce,4778.00,86.00,-95.00,4.591,0.015,-0.036,0.7630,0.0280,-0.0280,297.709350,48.080853,9.174
3861595,K00004.01,Kepler-1658 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,3.849371737,2.3440000e-06,-2.3440000e-06,157.5266860,4.880000e-04,-4.880000e-04,0.915,0.020,-0.056,2.63200,0.10600,-0.10600,1298.6,1.300e+01,-1.300e+01,12.94,1.80,-4.200e+00,2034.0,,,4055.29,1643.78,-2336.51,132.70,1,q1_q17_dr25_tce,6244.00,126.00,-114.00,3.657,0.270,-0.090,2.9920,0.4160,-0.9710,294.356540,38.947380,11.432
8554498,K00005.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,4.780327581,8.5200000e-07,-8.5200000e-07,132.9740860,1.480000e-04,-1.480000e-04,0.952,0.001,-0.002,2.02530,0.01390,-0.01390,960.8,3.900e+00,-3.900e+00,7.14,0.52,-3.100e-01,1441.0,,,1020.05,223.43,-125.20,380.80,1,q1_q17_dr25_tce,5937.00,83.00,-65.00,4.012,0.030,-0.030,1.7870,0.1320,-0.0760,289.739720,44.647419,11.665
3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.334101467,1.6550000e-06,-1.6550000e-06,133.7030810,9.830000e-04,-9.830000e-04,0.153,0.228,-0.153,2.10330,0.03180,-0.03180,120.8,3.300e+00,-3.300e+00,1.74,0.31,-3.700e-01,2169.0,,,5207.55,2517.09,-2268.59,43.00,1,q1_q17_dr25_tce,6178.00,111.00,-136.00,4.106,0.168,-0.112,1.5800,0.2770,-0.3390,294.599550,38.366772,12.161
11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.213668926,1.0900000e-06,-1.0900000e-06,123.6118780,2.740000e-04,-2.740000e-04,0.021,0.188,-0.021,3.98235,0.00911,-0.00911,727.8,2.500e+00,-2.500e+00,4.13,0.26,-2.300e-01,1515.0,,,1244.44,229.31,-193.94,346.90,1,q1_q17_dr25_tce,5795.00,69.00,-77.00,4.101,0.033,-0.027,1.5450,0.0970,-0.0870,285.615330,50.135750,12.211
5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.160152590,8.6800000e-07,-8.6800000e-07,121.7046450,6.730000e-04,-6.730000e-04,0.748,0.025,-0.515,1.34330,0.01950,-0.01950,170.2,4.100e+00,-4.100e+00,1.40,0.20,-1.200e-01,1751.0,,,2229.29,910.20,-505.19,48.40,1,q1_q17_dr25_tce,5842.00,105.00,-117.00,4.433,0.072,-0.117,0.9850,0.1430,-0.0830,298.661010,41.137890,12.450
11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,3.719809197,9.3900000e-07,-9.3900000e-07,135.0682980,2.060000e-04,-2.060000e-04,1.279,0.169,-0.078,3.53170,0.01050,-0.01050,2958.2,1.010e+01,-1.010e+01,87.21,16.61,-2.845e+01,1873.0,,,2912.21,1650.97,-1719.77,373.90,1,q1_q17_dr25_tce,6284.00,160.00,-160.00,3.813,0.292,-0.097,2.3480,0.4470,-0.7660,288.803770,49.530788,13.123
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,3.522498429,1.9800000e-07,-1.9800000e-07,121.1194228,4.710000e-05,-4.710000e-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.600e+00,-6.600e+00,14.59,1.11,-1.110e+00,1521.0,,,1264.67,307.23,-276.48,1741.50,1,q1_q17_dr25_tce,6225.00,112.00,-137.00,4.169,0.055,-0.045,1.4510,0.1100,-0.1100,281.288120,42.451080,13.563
11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,3.747838198,3.8960000e-06,-3.8960000e-06,171.6650400,9.020000e-04,-9.020000e-04,1.121,1.104,-0.035,5.06420,0.04450,-0.04450,616.0,5.300e+00,-5.300e+00,13.65,3.11,-1.040e+00,1031.0,,,266.76,180.49,-62.76,138.20,1,q1_q17_dr25_tce,5514.00,149.00,-149.00,4.569,0.029,-0.162,0.8260,0.1880,-0.0630,291.061520,50.265129,13.496
5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,0.6350,0,0,0,0,17.855221681,3.6760000e-06,-3.6760000e-06,146.5964660,1.630000e-04,-1.630000e-04,0.075,0.106,-0.043,7.41287,0.00581,-0.00581,9065.2,1.120e+01,-1.120e+01,13.16,2.57,-6.500e-01,911.0,,,163.04,78.35,-23.38,915.70,1,q1_q17_dr25_tce,6823.00,61.00,-92.00,4.308,0.024,-0.128,1.3670,0.2670,-0.0670,297.453740,41.010990,11.353
9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,0.8750,0,1,0,0,1.763587535,4.2000000e-08,-4.2000000e-08,120.5659254,1.990000e-05,-1.990000e-05,0.512,0.007,-0.008,3.16877,0.00290,-0.00290,4590.6,1.500e+00,-1.500e+00,21.42,6.33,-9.480e+00,3559.0,,,37958.27,32770.23,-28302.96,4061.90,1,q1_q17_dr25_tce,9107.00,242.00,-443.00,3.867,0.343,-0.147,3.0310,0.8950,-1.3420,286.971190,46.868359,9.958
7684873,K00014.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,2.947376671,3.2280000e-06,-3.2280000e-06,171.5229780,8.830000e-04,-8.830000e-04,2.641,10.990,-0.707,2.09110,0.04370,-0.04370,433.2,8.500e+00,-8.500e+00,403.59,85.99,-1.050e+02,2404.0,,,7903.84,5082.12,-4259.41,62.30,1,q1_q17_dr25_tce,8090.00,226.00,-340.00,4.002,0.198,-0.132,2.2340,0.4760,-0.5810,292.611940,43.305141,10.470
3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,3.012476582,1.1610000e-06,-1.1610000e-06,135.2592710,2.980000e-04,-2.980000e-04,1.261,0.509,-0.102,3.14240,0.01550,-0.01550,1138.5,5.500e+00,-5.500e+00,65.25,19.12,-1.272e+01,2371.0,,,7471.65,6472.63,-3492.78,253.40,1,q1_q17_dr25_tce,8601.00,240.00,-412.00,4.137,0.098,-0.182,2.0310,0.5950,-0.3960,294.143400,39.089779,12.403
9110357,K00016.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,0.895277575,5.0700000e-07,-5.0700000e-07,133.4119860,5.040000e-04,-5.040000e-04,0.928,0.022,-0.045,2.71100,0.11200,-0.11200,534.5,4.800e+00,-4.800e+00,9.27,2.27,-4.560e+00,4253.0,,,77480.31,56723.64,-60586.17,132.10,1,q1_q17_dr25_tce,8040.00,224.00,-336.00,3.707,0.432,-0.108,3.3250,0.8170,-1.6340,298.344210,45.409920,13.574
10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,0.9870,0,0,0,0,3.234699282,1.1900000e-07,-1.1900000e-07,121.4865708,2.920000e-05,-2.920000e-05,0.079,0.003,-0.058,3.59385,0.00078,-0.00078,10558.7,4.200e+00,-4.200e+00,13.06,0.96,-9.600e-01,1356.0,,,797.62,197.63,-160.80,3003.80,1,q1_q17_dr25_tce,5640.00,113.00,-101.00,4.236,0.055,-0.045,1.2910,0.0950,-0.0950,296.837250,48.239944,13.303
8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,0.7540,0,1,0,0,3.548465446,1.8300000e-07,-1.8300000e-07,122.9014315,4.260000e-05,-4.260000e-05,0.075,0.013,-0.053,4.56904,0.00118,-0.00118,7251.5,3.300e+00,-3.300e+00,14.92,1.08,-1.310e+00,1640.0,,,1708.28,416.27,-397.63,2486.50,1,q1_q17_dr25_tce,6290.00,125.00,-125.00,4.074,0.050,-0.050,1.7460,0.1260,-0.1540,299.407010,44.035053,13.369
7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,1.203200920,2.9600000e-07,-2.9600000e-07,133.9298360,2.040000e-04,-2.040000e-04,1.274,3.088,-0.042,1.91970,0.01080,-0.01080,2807.1,1.350e+01,-1.350e+01,49.25,8.83,-8.840e+00,2124.0,,,4809.16,2430.00,-1846.80,250.80,1,q1_q17_dr25_tce,6218.00,124.00,-137.00,4.198,0.162,-0.108,1.3490,0.2420,-0.2420,280.943850,42.839184,11.374
11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,0.7610,0,0,0,0,4.437962934,1.7100000e-07,-1.7100000e-07,171.0091259,2.880000e-05,-2.880000e-05,0.069,0.007,-0.050,4.69813,0.00079,-0.00079,16387.6,5.300e+00,-5.300e+00,18.05,2.92,-3.570e+00,1338.0,,,757.65,339.17,-311.08,3535.60,1,q1_q17_dr25_tce,5953.00,105.00,-129.00,4.175,0.168,-0.112,1.4150,0.2290,-0.2800,286.243440,50.040379,13.438
